X,Y,Z,SensorValue
0.0,0.0,0.0,8
0.0,0.0,0.0,288
0.0,0.0,0.0,288
0.0,0.0,0.0,288
0.0,0.004,0.0,288
0.0,0.004,0.0,288
0.0,0.004,0.0,288
0.0,0.004,0.0,288
0.0,0.008,0.0,288
0.0,0.012,0.0,288
0.0,0.012,0.0,288
0.0,0.016,0.0,288
0.0,0.016,0.0,288
0.0,0.016,0.0,287
0.0,0.02,0.0,288
0.0,0.024,0.0,288
0.0,0.028,0.0,289
0.0,0.032,0.0,288
0.0,0.032,0.0,288
0.0,0.036,0.0,288
0.0,0.04,0.0,288
0.0,0.048,0.0,287
0.0,0.052,0.0,288
0.0,0.056,0.0,289
0.0,0.06,0.0,288
0.0,0.068,0.0,8
0.0,0.072,0.0,288
0.0,0.08,0.0,288
0.0,0.084,0.0,288
0.0,0.092,0.0,288
0.0,0.096,0.0,288
0.0,0.104,0.0,288
0.0,0.116,0.0,288
0.0,0.12,0.0,288
0.0,0.128,0.0,288
0.0,0.136,0.0,288
0.0,0.14,0.0,288
0.0,0.148,0.0,288
0.0,0.16,0.0,288
0.0,0.168,0.0,287
0.0,0.176,0.0,288
0.0,0.18,0.0,288
0.0,0.188,0.0,289
0.0,0.204,0.0,288
0.0,0.208,0.0,288
0.0,0.216,0.0,288
0.0,0.224,0.0,288
0.0,0.232,0.0,287
0.0,0.236,0.0,288
0.0,0.252,0.0,289
0.0,0.256,0.0,288
0.0,0.264,0.0,8
0.0,0.272,0.0,288
0.0,0.28,0.0,288
0.0,0.284,0.0,288
0.0,0.296,0.0,288
0.0,0.304,0.0,288
0.0,0.312,0.0,288
0.0,0.32,0.0,288
0.0,0.324,0.0,288
0.0,0.332,0.0,288
0.0,0.344,0.0,288
0.0,0.352,0.0,288
0.0,0.36,0.0,288
0.0,0.368,0.0,288
0.0,0.372,0.0,287
0.0,0.38,0.0,288
0.0,0.392,0.0,288
0.0,0.4,0.0,289
0.0,0.408,0.0,288
0.0,0.416,0.0,288
0.0,0.42,0.0,288
0.0,0.436,0.0,288
0.0,0.44,0.0,287
0.0,0.448,0.0,288
0.0,0.456,0.0,289
0.0,0.46,0.0,288
0.0,0.468,0.0,287
0.0,0.48,0.0,288
0.0,0.488,0.0,288
0.0,0.496,0.0,288
0.0,0.504,0.0,287
0.0,0.508,0.0,288
0.0,0.516,0.0,288
0.0,0.532,0.0,288
0.0,0.536,0.0,288
0.0,0.544,0.0,287
0.0,0.552,0.0,287
0.0,0.58,0.0,301
0.0,0.744,0.0,302
0.0,0.912,0.0,300
0.0,1.076,0.0,297
0.0,1.248,0.0,298
0.0,1.412,0.0,296
0.0,1.58,0.0,287
0.0,1.744,0.0,291
0.0,1.916,0.0,303
0.0,2.08,0.0,304
0.0,2.252,0.0,299
0.0,2.412,0.0,306
0.0,2.584,0.0,292
0.0,2.748,0.0,291
0.0,2.92,0.0,292
0.0,3.088,0.0,292
0.0,3.252,0.0,291
0.0,3.424,0.0,297
0.0,3.588,0.0,287
0.0,3.76,0.0,269
0.0,3.924,0.0,267
0.0,4.092,0.0,276
0.0,4.256,0.0,279
0.0,4.428,0.0,293
0.0,4.592,0.0,291
0.0,4.76,0.0,267
0.0,4.924,0.0,294
0.0,5.096,0.0,284
0.0,5.26,0.0,280
0.0,5.428,0.0,262
0.0,5.6,0.0,257
0.0,5.764,0.0,266
0.0,5.932,0.0,258
0.0,6.1,0.0,267
0.0,6.268,0.0,263
0.0,6.432,0.0,264
0.0,6.604,0.0,281
0.0,6.768,0.0,290
0.0,6.936,0.0,283
0.0,7.1,0.0,295
0.0,7.272,0.0,305
0.0,7.436,0.0,292
0.0,7.604,0.0,292
0.0,7.768,0.0,299
0.0,7.94,0.0,299
0.0,8.108,0.0,310
0.0,8.276,0.0,324
0.0,8.444,0.0,319
0.0,8.608,0.0,325
0.0,8.78,0.0,314
0.0,8.944,0.0,310
0.0,9.112,0.0,299
0.0,9.276,0.0,298
0.0,9.448,0.0,299
0.0,9.612,0.0,297
0.0,9.78,0.0,272
0.0,9.944,0.0,279
0.0,10.116,0.0,257
0.0,10.28,0.0,276
0.0,10.448,0.0,255
0.0,10.62,0.0,250
0.0,10.784,0.0,276
0.0,10.956,0.0,293
0.0,11.12,0.0,278
0.0,11.288,0.0,305
0.0,11.452,0.0,305
0.0,11.624,0.0,299
0.0,11.788,0.0,299
0.0,11.956,0.0,298
0.0,12.12,0.0,300
0.0,12.292,0.0,291
0.0,12.456,0.0,290
0.0,12.628,0.0,298
0.0,12.788,0.0,276
0.0,12.96,0.0,271
0.0,13.132,0.0,299
0.0,13.292,0.0,305
0.0,13.464,0.0,304
0.0,13.628,0.0,306
0.0,13.8,0.0,303
0.0,13.964,0.0,289
0.0,14.136,0.0,287
0.0,14.296,0.0,301
0.0,14.468,0.0,291
0.0,14.632,0.0,293
0.0,14.804,0.0,291
0.0,14.948,0.0,294
0.0,15.0,0.0,293
0.0,15.0,0.0,303
0.0,15.0,0.048,303
0.0,15.0,0.188,296
0.0,15.0,0.36,302
0.0,15.0,0.524,298
0.0,15.0,0.664,302
0.0,15.0,0.7,301
0.0,15.0,0.7,297
0.0,14.952,0.7,300
0.0,14.812,0.7,304
0.0,14.64,0.7,303
0.0,14.476,0.7,303
0.0,14.308,0.7,303
0.0,14.136,0.7,301
0.0,13.972,0.7,289
0.0,13.8,0.7,284
0.0,13.636,0.7,281
0.0,13.468,0.7,279
0.0,13.304,0.7,275
0.0,13.132,0.7,292
0.0,12.968,0.7,296
0.0,12.8,0.7,286
0.0,12.636,0.7,294
0.0,12.464,0.7,291
0.0,12.3,0.7,293
0.0,12.132,0.7,298
0.0,11.968,0.7,292
0.0,11.796,0.7,299
0.0,11.624,0.7,291
0.0,11.46,0.7,302
0.0,11.292,0.7,290
0.0,11.128,0.7,259
0.0,10.956,0.7,264
0.0,10.792,0.7,259
0.0,10.624,0.7,273
0.0,10.46,0.7,293
0.0,10.288,0.7,301
0.0,10.124,0.7,302
0.0,9.956,0.7,290
0.0,9.788,0.7,298
0.0,9.62,0.7,298
0.0,9.456,0.7,309
0.0,9.284,0.7,316
0.0,9.116,0.7,316
0.0,8.952,0.7,324
0.0,8.78,0.7,330
0.0,8.616,0.7,326
0.0,8.444,0.7,326
0.0,8.28,0.7,318
0.0,8.112,0.7,304
0.0,7.948,0.7,318
0.0,7.78,0.7,300
0.0,7.616,0.7,311
0.0,7.444,0.7,301
0.0,7.28,0.7,300
0.0,7.108,0.7,297
0.0,6.944,0.7,299
0.0,6.776,0.7,292
0.0,6.604,0.7,295
0.0,6.44,0.7,294
0.0,6.272,0.7,293
0.0,6.108,0.7,294
0.0,5.936,0.7,297
0.0,5.772,0.7,300
0.0,5.6,0.7,298
0.0,5.44,0.7,294
0.0,5.268,0.7,298
0.0,5.104,0.7,299
0.0,4.932,0.7,300
0.0,4.768,0.7,299
0.0,4.6,0.7,299
0.0,4.436,0.7,299
0.0,4.264,0.7,296
0.0,4.096,0.7,290
0.0,3.932,0.7,288
0.0,3.76,0.7,299
0.0,3.596,0.7,293
0.0,3.424,0.7,293
0.0,3.26,0.7,281
0.0,3.092,0.7,294
0.0,2.928,0.7,293
0.0,2.756,0.7,290
0.0,2.592,0.7,290
0.0,2.424,0.7,287
0.0,2.26,0.7,301
0.0,2.088,0.7,301
0.0,1.924,0.7,301
0.0,1.756,0.7,302
0.0,1.584,0.7,303
0.0,1.42,0.7,303
0.0,1.248,0.7,289
0.0,1.088,0.7,288
0.0,0.916,0.7,302
0.0,0.752,0.7,302
0.0,0.58,0.7,300
0.0,0.42,0.7,300
0.0,0.248,0.7,300
0.0,0.088,0.7,297
0.0,0.004,0.7,299
0.0,0.0,0.7,301
0.0,0.0,0.748,303
0.0,0.0,0.892,299
0.0,0.0,1.064,297
0.0,0.0,1.224,295
0.0,0.0,1.364,297
0.0,0.0,1.4,296
0.0,0.0,1.4,294
0.0,0.048,1.4,296
0.0,0.188,1.4,298
0.0,0.36,1.4,296
0.0,0.524,1.4,298
0.0,0.696,1.4,300
0.0,0.864,1.4,303
0.0,1.028,1.4,303
0.0,1.2,1.4,303
0.0,1.364,1.4,301
0.0,1.536,1.4,301
0.0,1.696,1.4,288
0.0,1.868,1.4,291
0.0,2.032,1.4,292
0.0,2.204,1.4,292
0.0,2.368,1.4,295
0.0,2.536,1.4,296
0.0,2.7,1.4,297
0.0,2.872,1.4,297
0.0,3.036,1.4,288
0.0,3.204,1.4,287
0.0,3.376,1.4,312
0.0,3.54,1.4,302
0.0,3.712,1.4,305
0.0,3.872,1.4,306
